"commit id","commit date","commit message"
"bf2fbd0e512b8d228fc5000f0645d8aeaa88733e","2016-01-14 21:00:29+01:00","Initial commit
"
"fc9936600ebfd973a87b817acab3efa4a6b6cd03","2016-01-14 22:10:08+01:00","Add GPLv3 LICENSE file and notices to the start of each file
"
"a848fc7a081719722a55760c23dd5d09c7d45a5d","2016-01-14 22:17:19+01:00","Add Travis CI config file

build.gradle has also been modified to prevent build to fail when lint
errors are detected.
"
"59696027f969110f5671295fdbad04422cd83820","2016-01-15 00:47:04+01:00","Set accent color to orange
"
"a8755a6e74b3827fc7a5f628a3915db60dbfe9e1","2016-01-15 01:17:08+01:00","Prevent wifiPasswordDialog from reappearing on screen rotation
"
"ce345e0ea4ca53b7a0a3abec2fef63bbc376f55e","2016-01-15 02:07:43+01:00","Set QR code width to 200 dp
"
"841cd7ac287d43b07242586ce08678474d80604d","2016-01-15 14:19:22+01:00","Prevent crash on startup when Wi-Fi is not yet fully activated
"
"141ec8c1aa4410121bee60afc81a2d3e93f50d68","2016-01-16 13:11:29+01:00","Save user-entered passwords to database

When no root access is given, the app asks the user to manually enter the password for protected networks.
Those passwords are saved to a local database so that he won't have to enter again after app closes.
"
"62369914976a4e90cf46bca5a554a0a9464e571d","2016-01-16 18:34:34+01:00","Add key/missing key icon for each item in the networks list
"
"0dfc76cb0b1565f2ae76ec973d025985565c5d64","2016-01-16 18:42:24+01:00","Add Travis CI build status image
"
"cbfc4a37abfc11af84e73c9ba3081dafdc01c4f1","2016-01-17 13:09:55+01:00","Add app launcher icon
"
"b5f4fcb7f57a0cc31d31e8e21d53c1cdb41805af","2016-01-17 13:23:23+01:00","Remove padding in Wi-Fi list content layout
"
"b48a0a76b8bad3953a47fc91b8aeef5ebb6c9ce0","2016-01-17 13:38:26+01:00","Remove FloatingActionButton in Wi-Fi list activity as we currently don't use it

FAB may be re-added in the future if we find it useful (add new network/scan QR code/scan NFC tag/…)
"
"00aa557fe4fed10895dab4ccdd09e86bab35a8a5","2016-01-17 22:04:51+01:00","Check that NFC is enabled/available before reading/writing tag
"
"1571dd2adae05d4882b8818e59df471c8ca5dbee","2016-01-17 23:01:06+01:00","Remove NFC foreground dispatch and enable Android Beam in Wi-Fi network activity
"
"ff6cee5baa63eb33cddb7374b68ad432a37059d9","2016-01-17 23:21:18+01:00","Move isValidPasswordLength to static isValidKeyLength method in WifiNetwork class
"
"6a77faee15027ab1941c9df0b77b719d11c98b28","2016-01-17 23:47:40+01:00","Do not set password restrictions in EditText until we know exactly what are the restrictions for WEP/WPA passwords
"
"5ae3c21f8be43e04240e61af35dfd7530ee636fc","2016-01-18 00:10:35+01:00","Ellipsize long SSIDs in list
"
"6927318af3b81f0660d2f03bab99c1420bfb3afd","2016-01-18 00:27:26+01:00","Disable app data backup

Prevent saved Wi-Fi keys to be sent to Google without user knowing it.
"
"6a80f7e9aee10a99c4a35964384c939dccb480c9","2016-01-18 00:53:16+01:00","Extract hardcoded strings to string resources
"
"cfd1680573f9cd2970892c740877a4a3900e882a","2016-01-18 00:55:47+01:00","Escape apostrophe in strings
"
"010ddf2ff9c5ee1b6a3c6d1909991577448fbc50","2016-01-18 01:01:12+01:00","Remove unused AddWifiDialog class and all its resources (layout, strings, styles, arrays)
"
"ae2c504e98503220303c06e8f50d3d7e56d97d34","2016-01-18 01:13:30+01:00","Show 'No root' dialog only on first run
"
"344886ddce3f54a72c0356c46524b5450f78e82b","2016-01-18 01:55:46+01:00","Add checkbox to show/hide password
"
"5288e05d6e51d2962fc12c895c0c10b5ff3f57da","2016-01-18 14:49:28+01:00","Show context menu on long tap on Wi-Fi list item allowing to clear saved password

RecyclerView has been replaced by a custom sub-class of it (ContextMenuRecyclerView)
that is able to detect which item was clicked.

See http://stackoverflow.com/a/31478593
"
"d39e83d3ab4e650aaa1d5bcd731559c4bd2e2392","2016-01-18 16:40:02+01:00","Re-enable NFC foreground dispatch in WifiNetworkActivity as we need it to write tags

Partially revert changes made in commit #1571dd2.
"
"62e40a8ba904981d774f881795817fd0a790562e","2016-01-18 21:25:23+01:00","Add About dialog box with app description, license and credits
"
"6665882866ba5df3347694f7ed63f7408b36ef25","2016-01-18 21:42:05+01:00","Move hardcoded string to string resources
"
"ce67d92e754ed37d87a80890189a06543549fd3d","2016-01-18 21:45:46+01:00","Remove scroll flag from Toolbar
"
"5369a0cfdac51e0c08a3f948d7755b7fcf2cb258","2016-01-19 01:05:33+01:00","Add 'Write to tag' image in NfcFragment
"
"931cd3b8a5638f28497d4e3d18b78dba04e0811a","2016-01-19 01:09:18+01:00","Add missing 'Write to tag' image in resources
"
"154d84dce457c12a1bc0bb705b7e4c6c0e8b7a0e","2016-01-19 01:12:19+01:00","Do not show toast when reading a tag
"
"13fd608886faebbd3201cec415746a8a9f2ca5ae","2016-01-19 15:20:15+01:00","Add option to view password after long tap on network
"
