"commit id","commit date","commit message"
"dde1a095eef899ff8f7d0137a679ddc41fa9824d","2013-07-15 01:12:01+02:00","Some cleanup of constants
"
"e7624870222982211793065883443c9dc0ced1df","2013-07-18 01:09:12+02:00","Update ScrumChatterDialog.java
"
"536040fe0e65ebbe47b09467958b651eb71e563a","2013-07-19 00:50:34+02:00","Merge branch 'multi-team' of https://github.com/caarmen/scrumchatter
"
"6601ebcbb7b74143296080c2d8a19bb46d692908","2013-07-19 01:06:00+02:00","Updating comments in ScrumChatterDialog
"
"b0e8e5e10a85baeef2ab2b17e284433a095b110b","2013-07-19 01:34:03+02:00","Issue #23: Prevent starting meeting if team has no members
"
"df8e8df7f6b616c7c1abed2cb748b79f131c34e9","2013-07-19 09:17:08+02:00","Issue #20: show single choice item for team selection
"
"d28ca2025cd1bea71505aa2932fbfcf42a6c5f6f","2013-07-19 09:19:47+02:00","Issue #22 - Add empty list text
"
"5fe5076914c4e157cd7dbc1d885909b344909a50","2013-07-20 11:07:37+02:00","Issue #10 - add themed radio buttons, and dismiss dialog when selecting team
"
"56dd4635742310f17d166c221ab2a32f95eb9fb9","2013-07-20 11:13:52+02:00","Issue #20 - add themed radio button
"
"4acc6a3b8710452512216f402df4d13ca0c08ebe","2013-07-20 11:24:52+02:00","Merge branch 'issue-20' of https://github.com/caarmen/scrumchatter
"
"6d6da4ccd262c0c5c8ba703c2b72febf13a5e909","2013-07-20 11:51:29+02:00","Issue #24 - themed radio buttons in 2.x in dialog
"
"d243130a8966d2e87c55114adf058a0226d8e215","2013-07-20 12:08:15+02:00","Improve the list header style
"
"35d5471e251bbf9d7e701850250a03df54df02b1","2013-07-20 12:16:54+02:00","New version 1.0.7
"
